GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
automated-tests-with-java,br.com.erudio.math,SimpleMath,0,55,0,2,0,9,0,8,0,7
automated-tests-with-java,br.com.erudio.business,CourseBusiness,0,67,0,10,0,18,0,8,0,3
